redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,aof_current_size,aof_base_size,aof_pending_rewrite,aof_buffer_length,aof_rewrite_buffer_length,aof_pending_bio_fsync,aof_delayed_fsync,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,4108,aff7cb4dd051738ab1665b463355dfb4dd69e2ed,6379,523,0,9,9,4248177,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config11.conf,1,32,0,0,1181088,1.13,4128768,3.94,1241328,1.18,95.15,797368,531608,383720,59.08,1193512,1445888,4386816,58986446848,54.94,37888,37.00,0,0,0,2621440000,2.44,volatile-ttl,1.21,252376,3.03,2940928,0.94,-258048,3.56,2969464,220,0,0,0,224,jemalloc-5.1.0,0,0,0,4251,0,1631637907,ok,0,-1,262144,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,30,1110014,100000,1.63,0.15,0,0,0,0,0,0.00,0,0,0,10000,0,0,170,0,0,0,0,0,0,master,0,f200e452a6796d9fd133a2e2c9f85ca5bc4ba328,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.200733,0.437891,0.000938,0.001876,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,6225,c779c8be8f548c61c7cfcc9cc6b69592b504f589,6379,6,0,23,23,4248189,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config12.conf,1,32,0,0,1181024,1.13,4161536,3.97,1241248,1.18,95.15,797304,531608,383720,59.09,1226496,1486848,4489216,58986446848,54.94,37888,37.00,0,0,0,3040870400,2.83,volatile-lru,1.21,260352,3.02,3002368,0.93,-327680,3.59,3002296,156,0,0,0,160,jemalloc-5.1.0,0,0,0,10000,0,1631638135,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,14534,1110014,100000,787.78,70.97,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,e1fdcb6d1e5a665879a88648c1de8180fc135784,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.252736,0.104793,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,6277,ff533489d04a46bae84869de61bcc0c270480d9f,6379,6,0,12,12,4248201,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config13.conf,1,32,0,0,1181024,1.13,4186112,3.99,1241248,1.18,95.15,797304,531608,383720,59.09,1226496,1486848,4468736,58986446848,54.94,37888,37.00,0,0,0,2726297600,2.54,volatile-ttl,1.21,260352,3.01,2981888,0.94,-282624,3.61,3026872,156,0,0,0,160,jemalloc-5.1.0,0,0,0,10000,0,1631638147,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,15060,1110014,100000,816.25,73.54,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,1597466b53fb7deeb97c5ca3d1bd7ec157a94189,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.263396,0.124416,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,6342,31cf67e2679a0f863c241c0263c34e9d3f46af08,6379,507,0,3,3,4248714,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config14.conf,1,32,0,0,1181088,1.13,4050944,3.86,1241312,1.18,95.15,797368,531608,383720,59.08,1193736,1445888,4354048,58986446848,54.94,37888,37.00,0,0,0,1572864000,1.46,volatile-lru,1.21,252152,3.01,2908160,0.93,-303104,3.49,2891640,220,0,0,0,224,jemalloc-5.1.0,0,0,0,4163,0,1631638460,ok,0,-1,274432,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,36,1110014,100000,1.99,0.18,0,0,0,0,0,0.00,0,0,0,10000,0,0,231,0,0,0,0,0,0,master,0,9ac2aacef5bb62229c2d38b9190341e92be49283,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.231276,0.321507,0.001823,0.001823,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,8370,84b8d4605bb618a278c0ee7da9fa00f4dffb2401,6379,6,0,16,16,4248726,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config15.conf,1,32,0,0,1181024,1.13,4235264,4.04,1246640,1.19,94.74,797304,531608,383720,59.09,1226776,1486848,4632576,58986446848,54.94,37888,37.00,0,0,0,1782579200,1.66,noeviction,1.21,260072,3.12,3145728,0.91,-397312,3.65,3076024,156,0,0,0,160,jemalloc-5.1.0,0,0,0,10000,0,1631638672,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,20161,1110014,100000,1092.73,98.44,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,c395bcd8a38761bac37d723e78e4a4e30aa394b1,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.248271,0.108867,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,8448,7ca754a444ed513cc68e8291e0da323ca67b1413,6379,6,0,4,4,4248738,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config16.conf,1,32,0,0,1181088,1.13,4063232,3.88,1241312,1.18,95.15,797368,531608,383720,59.08,1193760,1445888,4415488,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-lfu,1.21,252128,3.05,2969600,0.92,-352256,3.50,2903928,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631638684,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,5000,1110014,100000,271.00,24.41,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,f653f4a70579955b6906f21dbd1fc640b7ab7e93,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.267856,0.089637,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,8501,3a1f320051b16bf0619c261fe5d26969b40d75c9,6379,6,0,5,5,4248751,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config17.conf,1,32,0,0,1181088,1.13,4075520,3.89,1241312,1.18,95.15,797368,531608,383720,59.08,1197872,1445888,4534272,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-lfu,1.21,248016,3.14,3088384,0.90,-458752,3.65,2958144,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631638697,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,6250,1110014,100000,338.75,30.52,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,10bd536e32c71c1aaaf92087571b37864810d3dd,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.281327,0.095188,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,8570,020b7f6ac49ebead971cf33b466caee669df935c,6379,6,0,28,28,4248763,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config18.conf,1,32,0,0,1181088,1.13,4071424,3.88,1241312,1.18,95.15,797368,531608,383720,59.08,1194112,1445888,4476928,58986446848,54.94,37888,37.00,0,0,0,1887436800,1.76,volatile-ttl,1.21,251776,3.10,3031040,0.91,-405504,3.51,2912120,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631638709,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,17856,1110014,100000,967.84,87.19,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,5ffb178f5099647912015fd80227721b028555cf,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.252548,0.122781,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,8638,83d838bda877b09581c108de6dd333bf9722eb07,6379,6,0,22,22,4248775,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config19.conf,1,32,0,0,1181088,1.13,4075520,3.89,1241312,1.18,95.15,797368,531608,383720,59.08,1193704,1445888,4542464,58986446848,54.94,37888,37.00,0,0,0,1258291200,1.17,allkeys-lfu,1.21,252184,3.14,3096576,0.90,-466944,3.52,2916216,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631638721,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,13855,1110014,100000,750.99,67.66,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,eb87804c9a8181f236b2e5c24a78d995643689f3,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.273882,0.119505,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,11468,9a4ea3018f0f5eb5c78c72b2a7f2478072e0e212,6379,400,0,35,35,4250622,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config20.conf,1,32,0,0,1181088,1.13,4034560,3.85,1241328,1.18,95.15,797368,531608,383720,59.08,1199448,1445888,4354048,58986446848,54.94,37888,37.00,0,0,0,2202009600,2.05,volatile-lru,1.21,246440,3.01,2908160,0.93,-319488,3.48,2875256,220,0,0,0,224,jemalloc-5.1.0,0,0,0,3447,0,1631640475,ok,0,-1,524288,1,0,0,-1,-1,ok,ok,0,784996,34973,0,0,0,0,0,3,20000,30,1110014,100000,1.69,0.16,0,0,0,0,0,0.00,0,0,0,10000,0,0,180,0,0,0,0,0,0,master,0,7dd73ed4ecd3c6fbcdfbccc5ce5b8b8fcebcb195,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.085916,0.427916,0.002842,0.001894,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,13778,be5345732b914a3d41e184adb26a2ae0c574c13b,6379,6,0,34,34,4250641,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config21.conf,1,32,0,0,1181088,1.13,4067328,3.88,1241312,1.18,95.15,797368,531608,383720,59.08,1193520,1445888,4403200,58986446848,54.94,37888,37.00,0,0,0,1258291200,1.17,volatile-lfu,1.21,252368,3.05,2957312,0.92,-335872,3.51,2908024,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631640587,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,14359,1110014,100000,778.27,70.11,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,61b5699712fbc420927d5cca67766791089aede5,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.256575,0.122989,0.000000,0.000000,0,5000,0,0
